regiao;sexo;internacoes;amputacoes;obitos;taxa_internacao_padronizada;pct_amputacao;letalidade;idade_media
Centro-Oeste;F;9491;520;332;59,87;5,48;3,5;50,2
Centro-Oeste;M;10128;1057;270;71,12;10,44;2,67;53,6
Nordeste;F;42160;2784;1897;74,76;6,6;4,5;57,7
Nordeste;M;42741;4316;1690;90,36;10,1;3,95;58,2
Norte;F;14284;667;533;107,5;4,67;3,73;58,3
Norte;M;16806;1186;511;133,29;7,06;3,04;58,8
Sudeste;F;46418;3203;2024;48,9;6,9;4,36;52,4
Sudeste;M;57774;7025;2034;69,96;12,16;3,52;55,0
Sul;F;18719;752;697;56,8;4,02;3,72;52,3
Sul;M;19393;1775;629;65,88;9,15;3,24;55,3
