cod_municipio;nome;municipio_uf;uf;regiao;cobertura_aps_2019;cobertura_aps_2023_24;icvd_2019;icvd_2023_24;letalidade_2019;letalidade_2023_24;prop_amputacao_2019;prop_amputacao_2023_24;taxa_internacao_padronizada_2019;taxa_internacao_padronizada_2023_24;recuperacao;quadrante
1100015;Alta Floresta D'Oeste;Alta Floresta D'Oeste (RO);RO;Norte;92,01;112,62;0,2005;0,2164;2,7;1,96;5,41;2,94;180,91;250,58;0,0159;Piorou
1100023;Ariquemes;Ariquemes (RO);RO;Norte;59,2;68,67;0,103;0,0482;3,51;1,18;1,75;1,18;69,85;48,79;-0,0548;Melhorou
1100031;Cabixi;Cabixi (RO);RO;Norte;100,0;149,88;0,1187;0,0903;0,0;0,0;0,0;0,0;189,77;149,05;-0,0284;Melhorou
1100049;Cacoal;Cacoal (RO);RO;Norte;75,72;79,51;0,2037;0,2264;9,64;3,92;0,0;13,07;104,41;95,61;0,0227;Piorou
1100056;Cerejeiras;Cerejeiras (RO);RO;Norte;93,3;129,4;0,1845;0,173;3,03;1,79;0,0;3,57;218,82;184,26;-0,0115;Melhorou
1100064;Colorado do Oeste;Colorado do Oeste (RO);RO;Norte;97,51;111,72;0,1591;0,1849;0,0;4,08;8,33;4,08;143,01;145,52;0,0257;Piorou
1100080;Costa Marques;Costa Marques (RO);RO;Norte;86,95;138,62;0,0848;0,2979;0,0;13,33;0,0;6,67;141,17;76,16;0,213;Piorou
1100098;Espigão D'Oeste;Espigão D'Oeste (RO);RO;Norte;64,59;83,29;0,1661;0,2513;1,79;2,5;0,0;7,5;219,26;231,7;0,0852;Piorou
1100106;Guajará-Mirim;Guajará-Mirim (RO);RO;Norte;76,61;121,06;0,2156;0,1781;4,44;1,94;6,67;5,83;149,35;159,9;-0,0376;Melhorou
1100114;Jaru;Jaru (RO);RO;Norte;98,73;120,6;0,1796;0,1998;2,5;1,97;3,75;7,89;176,17;164,29;0,0201;Piorou
1100122;Ji-Paraná;Ji-Paraná (RO);RO;Norte;79,31;86,49;0,1792;0,2444;2,56;4,37;3,08;7,46;182,61;182,3;0,0653;Piorou
1100130;Machadinho D'Oeste;Machadinho D'Oeste (RO);RO;Norte;48,53;102,1;0,1224;0,392;0,0;2,95;0,0;1,64;194,99;605,33;0,2696;Piorou
1100148;Nova Brasilândia D'Oeste;Nova Brasilândia D'Oeste (RO);RO;Norte;82,9;111,61;0,0716;0,1119;0,0;2,78;0,0;0,0;122,27;120,36;0,0403;Piorou
1100155;Ouro Preto do Oeste;Ouro Preto do Oeste (RO);RO;Norte;100,0;119,65;0,2142;0,1839;3,66;4,0;1,22;10,0;232,63;71,57;-0,0304;Melhorou
1100189;Pimenta Bueno;Pimenta Bueno (RO);RO;Norte;76,79;106,27;0,2763;0,3471;0,87;1,81;1,74;1,09;374,87;464,13;0,0707;Piorou
1100205;Porto Velho;Porto Velho (RO);RO;Norte;60,99;74,8;0,2075;0,2116;2,5;1,66;17,5;17,13;43,42;72,07;0,0041;Piorou
1100254;Presidente Médici;Presidente Médici (RO);RO;Norte;100,0;133,55;0,1854;0,1163;5,88;2,04;0,0;2,04;158,87;116,79;-0,0691;Melhorou
1100288;Rolim de Moura;Rolim de Moura (RO);RO;Norte;94,3;93,16;0,1593;0,1206;1,04;1,92;3,12;3,85;186,18;102,87;-0,0386;Melhorou
