regiao;internacoes;amputacoes;obitos;cobertura_aps;taxa_internacao_padronizada;prop_amputacao;letalidade;periodo;icvd_regional;taxa_internacao_padronizada_norm;prop_amputacao_norm;letalidade_norm
Centro-Oeste;9350;536;312;92,75;62,69;5,73;3,34;2019;0,1303;0,09;0,1508;0,1502
Nordeste;43736;2336;2005;96,92;84,43;5,34;4,58;2019;0,1608;0,1355;0,1405;0,2063
Norte;14011;951;555;87,63;108,98;6,79;3,96;2019;0,1812;0,187;0,1785;0,1783
Sudeste;48833;4206;2171;88,68;54,38;8,61;4,45;2019;0,1664;0,0726;0,2265;0,2001
Sul;20346;1186;712;91,55;64,16;5,83;3,5;2019;0,1346;0,0931;0,1533;0,1575
Centro-Oeste;19619;1577;602;136,73;64,99;8,04;3,07;2023-24;0,1481;0,0948;0,2114;0,1381
Nordeste;84901;7100;3587;162,83;81,76;8,36;4,22;2023-24;0,18;0,13;0,2199;0,1901
Norte;31090;1853;1044;146,34;120,18;5,96;3,36;2023-24;0,1728;0,2104;0,1568;0,1511
Sudeste;104192;10228;4058;136,48;58,29;9,82;3,89;2023-24;0,1714;0,0808;0,2582;0,1753
Sul;38112;2527;1326;137,41;60,69;6,63;3,48;2023-24;0,1389;0,0858;0,1744;0,1566
