cod_municipio,uf,regiao,ano,cobertura_aps,fonte
1100015,RO,Norte,2019,92.01,cobertura_ab
1100015,RO,Norte,2020,95.11,cobertura_ab
1100015,RO,Norte,2021,138.59,cobertura_aps
1100015,RO,Norte,2022,107.51,cobertura_aps
1100015,RO,Norte,2023,113.98,cobertura_aps
1100015,RO,Norte,2024,111.27,cobertura_aps
1100023,RO,Norte,2019,59.2,cobertura_ab
1100023,RO,Norte,2020,50.9,cobertura_ab
1100023,RO,Norte,2021,57.52,cobertura_aps
1100023,RO,Norte,2022,57.47,cobertura_aps
1100023,RO,Norte,2023,68.67,cobertura_aps
1100023,RO,Norte,2024,68.67,cobertura_aps
1100031,RO,Norte,2019,100.0,cobertura_ab
1100031,RO,Norte,2020,100.0,cobertura_ab
1100031,RO,Norte,2021,134.92,cobertura_aps
1100031,RO,Norte,2022,138.14,cobertura_aps
1100031,RO,Norte,2023,141.71,cobertura_aps
1100031,RO,Norte,2024,158.06,cobertura_aps
1100049,RO,Norte,2019,75.72,cobertura_ab
1100049,RO,Norte,2020,90.94,cobertura_ab
1100049,RO,Norte,2021,76.26,cobertura_aps
1100049,RO,Norte,2022,72.22,cobertura_aps
1100049,RO,Norte,2023,76.5,cobertura_aps
1100049,RO,Norte,2024,82.52,cobertura_aps
1100056,RO,Norte,2019,93.3,cobertura_ab
1100056,RO,Norte,2020,88.41,cobertura_ab
1100056,RO,Norte,2021,147.59,cobertura_aps
1100056,RO,Norte,2022,106.96,cobertura_aps
1100056,RO,Norte,2023,128.48,cobertura_aps
1100056,RO,Norte,2024,130.32,cobertura_aps
1100064,RO,Norte,2019,97.51,cobertura_ab
1100064,RO,Norte,2020,86.89,cobertura_ab
1100064,RO,Norte,2021,112.58,cobertura_aps
1100064,RO,Norte,2022,115.03,cobertura_aps
1100064,RO,Norte,2023,111.72,cobertura_aps
1100064,RO,Norte,2024,111.72,cobertura_aps
1100072,RO,Norte,2019,97.8,cobertura_ab
1100072,RO,Norte,2020,100.0,cobertura_ab
1100072,RO,Norte,2021,145.42,cobertura_aps
1100072,RO,Norte,2022,136.48,cobertura_aps
1100072,RO,Norte,2023,139.64,cobertura_aps
1100072,RO,Norte,2024,139.64,cobertura_aps
1100080,RO,Norte,2019,86.95,cobertura_ab
1100080,RO,Norte,2020,86.26,cobertura_ab
1100080,RO,Norte,2021,94.79,cobertura_aps
1100080,RO,Norte,2022,90.88,cobertura_aps
1100080,RO,Norte,2023,138.63,cobertura_aps
1100080,RO,Norte,2024,138.62,cobertura_aps
1100098,RO,Norte,2019,64.59,cobertura_ab
1100098,RO,Norte,2020,71.05,cobertura_ab
1100098,RO,Norte,2021,74.93,cobertura_aps
1100098,RO,Norte,2022,74.22,cobertura_aps
1100098,RO,Norte,2023,83.29,cobertura_aps
1100098,RO,Norte,2024,83.29,cobertura_aps
1100106,RO,Norte,2019,76.61,cobertura_ab
1100106,RO,Norte,2020,87.74,cobertura_ab
1100106,RO,Norte,2021,99.5,cobertura_aps
1100106,RO,Norte,2022,96.95,cobertura_aps
1100106,RO,Norte,2023,117.68,cobertura_aps
1100106,RO,Norte,2024,124.44,cobertura_aps
1100114,RO,Norte,2019,98.73,cobertura_ab
1100114,RO,Norte,2020,100.0,cobertura_ab
1100114,RO,Norte,2021,116.57,cobertura_aps
1100114,RO,Norte,2022,115.6,cobertura_aps
1100114,RO,Norte,2023,118.59,cobertura_aps
1100114,RO,Norte,2024,122.61,cobertura_aps
1100122,RO,Norte,2019,79.31,cobertura_ab
1100122,RO,Norte,2020,75.89,cobertura_ab
1100122,RO,Norte,2021,79.7,cobertura_aps
1100122,RO,Norte,2022,80.13,cobertura_aps
1100122,RO,Norte,2023,85.12,cobertura_aps
1100122,RO,Norte,2024,87.86,cobertura_aps
1100130,RO,Norte,2019,48.53,cobertura_ab
1100130,RO,Norte,2020,71.29,cobertura_ab
1100130,RO,Norte,2021,77.07,cobertura_aps
1100130,RO,Norte,2022,67.8,cobertura_aps
1100130,RO,Norte,2023,101.63,cobertura_aps
1100130,RO,Norte,2024,102.58,cobertura_aps
