regiao,sexo,internacoes,amputacoes,obitos,idade_soma,idade_validas,taxa_internacao_padronizada,pct_amputacao,letalidade,idade_media
Centro-Oeste,F,9491.0,520.0,332.0,476102.0,9491.0,59.8654111306615,5.478874723422189,3.498050784954167,50.163523337899065
Centro-Oeste,M,10128.0,1057.0,270.0,542889.0,10128.0,71.12332992361219,10.436413902053712,2.6658767772511847,53.602784360189574
Nordeste,F,42160.0,2784.0,1897.0,2431994.0,42160.0,74.7589874819382,6.603415559772296,4.499525616698293,57.684867172675524
Nordeste,M,42741.0,4316.0,1690.0,2487888.0,42741.0,90.35674737049513,10.098032334292599,3.9540488055965,58.208464939987365
Norte,F,14284.0,667.0,533.0,832289.0,14284.0,107.500021908249,4.669560347241669,3.7314477737328478,58.267222066647996
Norte,M,16806.0,1186.0,511.0,988473.0,16806.0,133.29328773131695,7.057003451148399,3.0405807449720337,58.816672616922524
Sudeste,F,46418.0,3203.0,2024.0,2433485.0,46418.0,48.90247287671484,6.900340385195398,4.36037743978629,52.42545995088113
Sudeste,M,57774.0,7025.0,2034.0,3176614.0,57774.0,69.95692751265196,12.159448887042615,3.5206148094298473,54.9834527642192
Sul,F,18719.0,752.0,697.0,978818.0,18719.0,56.798679699088346,4.017308616913296,3.723489502644372,52.29007959826914
Sul,M,19393.0,1775.0,629.0,1072013.0,19393.0,65.87579057327953,9.152787088124581,3.2434383540452743,55.278347857474344
