regiao,internacoes,amputacoes,obitos,cobertura_aps,taxa_internacao_padronizada,prop_amputacao,letalidade,periodo,icvd_regional,taxa_internacao_padronizada_norm,prop_amputacao_norm,letalidade_norm
Centro-Oeste,9350.0,536.0,312.0,92.74715203426125,62.691628410447294,0.05732620320855615,0.03336898395721925,2019,0.1303083012881809,0.08999356837259213,0.15077090768446397,0.15016042780748665
Nordeste,43736.0,2336.0,2005.0,96.91928093645485,84.43417876874776,0.05341137735503933,0.04584324126577648,2019,0.16077230300043427,0.13554761202537552,0.14047471127993316,0.20629458569599415
Norte,14011.0,951.0,555.0,87.63177777777777,108.97782739464213,0.06787524088216401,0.03961173363785597,2019,0.18124620786745693,0.1869703946556449,0.178515427576374,0.17825280137035188
Sudeste,48833.0,4206.0,2171.0,88.68175659472422,54.38117094999038,0.08613028075276964,0.04445764134908771,2019,0.16638946062438087,0.07258186019256582,0.22652713560968216,0.2000593860708947
Sul,20346.0,1186.0,712.0,91.54937027707808,64.15610786119575,0.05829155607981913,0.03499459353189816,2019,0.1346157963030065,0.09306188187439488,0.1533098361410829,0.15747567089354172
Centro-Oeste,19619.0,1577.0,602.0,136.72896145610278,64.99206591875965,0.08038126306131811,0.030684540496457517,2023-24,0.14810023196259692,0.09481334475334016,0.21140691890039173,0.13808043223405883
Nordeste,84901.0,7100.0,3587.0,162.82738573021183,81.7639396643814,0.08362681240503646,0.042249207900967006,2023-24,0.18000578738488288,0.12995304346193023,0.21994288313836688,0.19012143555435154
Norte,31090.0,1853.0,1044.0,146.34459999999999,120.17963112366498,0.059601157928594405,0.03357992923769701,2023-24,0.17276792148112435,0.21043992549046767,0.15675415738326887,0.15110968156963656
Sudeste,104192.0,10228.0,4058.0,136.4829226618705,58.289133064041,0.09816492628992629,0.03894732800982801,2023-24,0.17140383661491282,0.08076965204785402,0.2581788817526584,0.17526297604422605
Sul,38112.0,2527.0,1326.0,137.4139882451721,60.69388365859302,0.06630457598656592,0.03479219143576826,2023-24,0.1389191130033959,0.08580798065940345,0.1743844968898271,0.1565648614609572
