uf,ano,internacoes
AC,2019,450
AC,2020,417
AC,2021,545
AC,2022,519
AC,2023,689
AC,2024,616
AL,2019,1782
AL,2020,1396
AL,2021,1420
AL,2022,1152
AL,2023,1072
AL,2024,1283
AM,2019,3046
AM,2020,2582
AM,2021,3253
AM,2022,4002
AM,2023,3668
AM,2024,3395
AP,2019,274
AP,2020,223
AP,2021,343
AP,2022,363
AP,2023,528
AP,2024,425
BA,2019,11324
BA,2020,11054
BA,2021,11441
BA,2022,11190
BA,2023,11154
BA,2024,11126
CE,2019,5062
CE,2020,4485
CE,2021,4836
CE,2022,5252
CE,2023,5314
CE,2024,5938
DF,2019,1691
DF,2020,1470
DF,2021,1497
DF,2022,1676
DF,2023,1672
DF,2024,1753
ES,2019,2369
ES,2020,2439
ES,2021,2541
ES,2022,2217
ES,2023,2396
ES,2024,2361
GO,2019,3654
GO,2020,3565
GO,2021,3508
GO,2022,3905
GO,2023,3996
GO,2024,3985
MA,2019,10445
MA,2020,8350
MA,2021,9544
MA,2022,10893
MA,2023,10426
MA,2024,8722
MG,2019,16501
MG,2020,16561
MG,2021,16047
MG,2022,17557
MG,2023,17541
MG,2024,17298
MS,2019,2006
MS,2020,1905
MS,2021,1764
MS,2022,1890
MS,2023,1961
MS,2024,2031
MT,2019,1999
MT,2020,1807
MT,2021,1865
MT,2022,2012
MT,2023,2043
MT,2024,2178
PA,2019,6611
PA,2020,5869
PA,2021,6208
PA,2022,7163
PA,2023,6988
PA,2024,7820
PB,2019,2673
PB,2020,2329
PB,2021,2904
PB,2022,3486
PB,2023,3272
PB,2024,3502
PE,2019,5420
PE,2020,5095
PE,2021,5659
PE,2022,5883
PE,2023,5410
PE,2024,5161
PI,2019,3345
PI,2020,2719
PI,2021,2787
PI,2022,2827
PI,2023,2716
PI,2024,2355
PR,2019,7833
PR,2020,7095
PR,2021,6945
PR,2022,7084
PR,2023,7167
PR,2024,7170
RJ,2019,7770
RJ,2020,7271
RJ,2021,7068
RJ,2022,8314
RJ,2023,9112
RJ,2024,9137
RN,2019,2725
RN,2020,2320
RN,2021,2230
RN,2022,2282
RN,2023,2529
RN,2024,2446
RO,2019,1789
RO,2020,1749
RO,2021,1874
RO,2022,1715
RO,2023,1753
RO,2024,1876
RR,2019,762
RR,2020,526
RR,2021,554
RR,2022,541
RR,2023,553
RR,2024,655
RS,2019,8026
RS,2020,7158
RS,2021,6800
RS,2022,7322
RS,2023,7403
RS,2024,7754
SC,2019,4487
SC,2020,3706
SC,2021,3689
SC,2022,4097
SC,2023,4229
SC,2024,4389
SE,2019,960
SE,2020,1088
SE,2021,1141
SE,2022,1042
SE,2023,1109
SE,2024,1366
SP,2019,22193
SP,2020,20404
SP,2021,20629
SP,2022,21841
SP,2023,22529
SP,2024,23818
TO,2019,1079
TO,2020,1063
TO,2021,996
TO,2022,1100
TO,2023,1086
TO,2024,1038
